?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/Bosgebied>	"Bosgebied"@nl	"Begroeid terreindeel met kruiden, struiken en een dusdanig aantal bomen dat deze min of meer een gesloten geheel vormen."@nl
<https://data.rws.nl/def/otl/BotanischeRozen>	"Botanische rozen"@nl	"Wilde roos die winterhard  is en als bloemheester, sierheester behandeld wordt."@nl
<https://data.rws.nl/def/otl/Bouwakker>	"Bouwakker"@nl	"Begroeid terreindeel ten behoeve van akkerbouw."@nl
<https://data.rws.nl/def/otl/Bovenbouwconstructie>	"Bovenbouwconstructie"@nl	"Draagconstructie samengesteld uit constructieonderdelen ten behoeve van de bovenbouw"@nl
<https://data.rws.nl/def/otl/Bovenleiding>	"Bovenleiding"@nl	"Samenstel van draden boven het spoor waarop de voedende elektrische spanning staat."@nl
<https://data.rws.nl/def/otl/Brandblusinstallatie>	"Brandblusinstallatie"@nl	"Installatie voor het bestrijden/ blussen van een brand met verschillende blusmiddelen"@nl
<https://data.rws.nl/def/otl/Brandblusser>	"Brandblusser"@nl	"Draagbaar of verrijdbaar apparaat of toestel om branden mee te blussen (bron: BB Art. 6.31)"@nl
<https://data.rws.nl/def/otl/Brandgang>	"Brandgang"@nl	"Smalle gang tussen huizen of open strook in een bos, die het optreden van de brandweer vergemakkelijkt en het overslaan van de brand bemoeilijkt."@nl
<https://data.rws.nl/def/otl/BrandmeldEnOntruimingsinstallatie>	"Brandmeld- en ontruimingsinstallatie (BMI)"@nl	"Installatie voor het ontdekken en melden van branden en het veilig ontruimen van de getroffen ruimtes."@nl
<https://data.rws.nl/def/otl/Brandslang>	"Brandslang"@nl	"Sterke waterslang die gebruikt wordt voor het transporteren van water ten behoeve van brandbestrijding"@nl
<https://data.rws.nl/def/otl/Brandstofcel>	"Brandstofcel"@nl	"Energiebron die chemische energie van een doorgaande reactie omzet in elektrische energie."@nl
<https://data.rws.nl/def/otl/Brandstofunit>	"Brandstofunit"@nl	"Eenheid bestaand uit een tank waarin brandstof wordt opgeslagen, een pomp en transportleidingen"@nl
<https://data.rws.nl/def/otl/Broedgat>	"Broedgat"@nl	"Opening die bedoeld is om vogels toegang te verlenen tot een holte om te kunnen broeden en eieren uit te laten komen"@nl
<https://data.rws.nl/def/otl/Broeihoop>	"Broeihoop"@nl	"Kunstmatig gemaakte hoop van bijeengeschraapt blad en maaisel waarin diersoorten overwinteren en/ of zich voortplanten."@nl
<https://data.rws.nl/def/otl/BrugBeweegbaar>	"Brug (beweegbaar)"@nl	"Een beweegbare verbinding voor verkeer tussen minimaal twee punten die gescheiden worden door waterwegen en variabele doorvaarthoogte biedt."@nl
<https://data.rws.nl/def/otl/BrugVast>	"Brug (vast)"@nl	"Vaste verbinding voor verkeer tussen minimaal twee punten die gescheiden worden door hoofdzakelijk waterwegen en onder andere bestaat uit een hoofddraagconstructie en een rijvloer."@nl
<https://data.rws.nl/def/otl/Buffer>	"Buffer"@nl	"Installatiedeel dat overtollige energie opvangt"@nl
<https://data.rws.nl/def/otl/Buisaansluiting>	"Buisaansluiting"@nl	"Verbinding van een buis waar vloeistoffen of gassen doorheen gaan"@nl
<https://data.rws.nl/def/otl/Buisbeluchter>	"Buisbeluchter"@nl	"Installatiedeel in de vorm van een geperforeerde, met membraan voorziene, buis dat onder druk gebracht zuurstof verspreidt in het influent (afvalwater)"@nl
<https://data.rws.nl/def/otl/Buisleiding>	"Buisleiding"@nl	"Holle cilindrische leiding voor transport van gevaarlijke stoffen."@nl
<https://data.rws.nl/def/otl/Buitentalud>	"Buitentalud"@nl	"Het hellende vlak van het dijklichaam aan de kerende zijde van de dijk"@nl
<https://data.rws.nl/def/otl/Bunker>	"Bunker"@nl	"Zwaar versterkt militair verdedigingswerk dat bescherming biedt tegen bombardementen en beschietingen"@nl
<https://data.rws.nl/def/otl/Caisson>	"Caisson"@nl	"Geprefabriceerde doosvormige constructie zonder bodem die door middel van inwendige ontgraving en door haar eigen gewicht op de juiste diepte wordt gebracht."@nl
<https://data.rws.nl/def/otl/CalamiteitenDoorsteekInstallatie>	"Calamiteiten Doorsteek installatie (CADO)"@nl	"Beweegbare installatie die de berm ter plaatse van de bermbeveiliging vrijmaakt en het doorkruisen van deze berm met voertuigen mogelijk maakt"@nl
